"starost","drzava","spol","religija"
"25 - 29","France","Males",0.1
"25 - 29","France","Females",1
"25 - 29","Italy","Males",11.8
"25 - 29","Italy","Females",19.2
"25 - 29","Cyprus","Males",80.7
"25 - 29","Cyprus","Females",90.1
"25 - 29","Latvia","Males",5.3
"25 - 29","Latvia","Females",8
"25 - 29","Lithuania","Males",10.2
"25 - 29","Lithuania","Females",23.1
"25 - 29","Luxembourg","Males",21.6
"25 - 29","Luxembourg","Females",33.6
"25 - 29","Hungary","Males",2.6
"25 - 29","Hungary","Females",2.3
"25 - 29","Malta","Males",57.5
"25 - 29","Malta","Females",60.2
"25 - 29","Netherlands","Males",32.8
"25 - 29","Netherlands","Females",40.8
"25 - 29","Austria","Males",10.2
"25 - 29","Austria","Females",14.3
"25 - 29","Poland","Males",60.6
"25 - 29","Poland","Females",67.9
"25 - 29","Portugal","Males",31.9
"25 - 29","Portugal","Females",40.8
"25 - 29","Slovenia","Males",15.8
"25 - 29","Slovenia","Females",13
"25 - 29","Slovakia","Males",25
"25 - 29","Slovakia","Females",33.7
"25 - 29","Finland","Males",6.7
"25 - 29","Finland","Females",18.4
"25 - 29","Sweden","Males",15.3
"25 - 29","Sweden","Females",18.9
"25 - 29","United Kingdom","Males",3.1
"25 - 29","United Kingdom","Females",7.6
"25 - 29","Iceland","Males",6.6
"25 - 29","Iceland","Females",8.8
"25 - 29","Norway","Males",11.2
"25 - 29","Norway","Females",13.3
