"leto","drzava","mladi"
"2016","Luxembourg",410724
"2016","Malta",294178
"2016","Montenegro",477346
"2016","Netherlands",11910894
"2016","Norway",3928434
"2016","Poland",25725298
"2016","Portugal",6247552
"2016","Romania",13170004
"2016","Serbia",4476750
"2016","Slovakia",3743388
"2016","Slovenia",1267432
"2016","Spain",28111654
"2016","Sweden",7156952
"2016","Switzerland",5464276
"2016","Turkey",76098272
"2016","United Kingdom",48320352
