"leto","drzava","spol","starost","izobrazba","stevilo"
2007,"Greece","Females","15 do 24","0-2",23.2
2007,"Greece","Females","15 do 24","3-4",72.4
2007,"Greece","Females","15 do 29","0-2",53.5
2007,"Greece","Females","15 do 29","3-4",191.9
2007,"Greece","Females","20 do 24","0-2",17.3
2007,"Greece","Females","20 do 24","3-4",63.5
2007,"Greece","Females","20 do 29","0-2",47.6
2007,"Greece","Females","20 do 29","3-4",182.9
2007,"Greece","Females","25 do 29","0-2",30.4
2007,"Greece","Females","25 do 29","3-4",119.4
2007,"Spain","Males","15 do 19","0-2",215.4
2007,"Spain","Males","15 do 19","3-4",36.1
2007,"Spain","Males","15 do 24","0-2",703.5
2007,"Spain","Males","15 do 24","3-4",303.7
2007,"Spain","Males","15 do 29","0-2",1333
2007,"Spain","Males","15 do 29","3-4",718.7
2007,"Spain","Males","20 do 24","0-2",488.1
2007,"Spain","Males","20 do 24","3-4",267.6
2007,"Spain","Males","20 do 29","0-2",1117.6
2007,"Spain","Males","20 do 29","3-4",682.7
2007,"Spain","Males","25 do 29","0-2",629.5
2007,"Spain","Males","25 do 29","3-4",415.1
2007,"Spain","Females","15 do 19","0-2",100.3
2007,"Spain","Females","15 do 19","3-4",39.6
2007,"Spain","Females","15 do 24","0-2",360.1
2007,"Spain","Females","15 do 24","3-4",286.1
2007,"Spain","Females","15 do 29","0-2",670.9
2007,"Spain","Females","15 do 29","3-4",638.4
2007,"Spain","Females","20 do 24","0-2",259.7
2007,"Spain","Females","20 do 24","3-4",246.6
2007,"Spain","Females","20 do 29","0-2",570.6
2007,"Spain","Females","20 do 29","3-4",598.8
2007,"Spain","Females","25 do 29","0-2",310.8
2007,"Spain","Females","25 do 29","3-4",352.2
2007,"France","Males","15 do 19","0-2",165.4
2007,"France","Males","15 do 19","3-4",140.2
2007,"France","Males","15 do 24","0-2",376.6
2007,"France","Males","15 do 24","3-4",691.7
2007,"France","Males","15 do 29","0-2",627.2
2007,"France","Males","15 do 29","3-4",1429.2
2007,"France","Males","20 do 24","0-2",211.2
2007,"France","Males","20 do 24","3-4",551.5
2007,"France","Males","20 do 29","0-2",461.8
2007,"France","Males","20 do 29","3-4",1289
2007,"France","Males","25 do 29","0-2",250.6
2007,"France","Males","25 do 29","3-4",737.5
2007,"France","Females","15 do 19","0-2",64.5
2007,"France","Females","15 do 19","3-4",94.5
2007,"France","Females","15 do 24","0-2",169.1
2007,"France","Females","15 do 24","3-4",570
2007,"France","Females","15 do 29","0-2",291.5
2007,"France","Females","15 do 29","3-4",1094.6
2007,"France","Females","20 do 24","0-2",104.6
2007,"France","Females","20 do 24","3-4",475.4
2007,"France","Females","20 do 29","0-2",227
2007,"France","Females","20 do 29","3-4",1000.1
2007,"France","Females","25 do 29","0-2",122.4
2007,"France","Females","25 do 29","3-4",524.6
2007,"Croatia","Males","15 do 19","0-2",2.9
2007,"Croatia","Males","15 do 19","3-4",9.5
2007,"Croatia","Males","15 do 24","0-2",7.8
2007,"Croatia","Males","15 do 24","3-4",76
2007,"Croatia","Males","15 do 29","0-2",16.6
2007,"Croatia","Males","15 do 29","3-4",171.6
2007,"Croatia","Males","20 do 24","0-2",4.8
2007,"Croatia","Males","20 do 24","3-4",66.5
2007,"Croatia","Males","20 do 29","0-2",13.6
2007,"Croatia","Males","20 do 29","3-4",162
2007,"Croatia","Males","25 do 29","0-2",8.8
2007,"Croatia","Males","25 do 29","3-4",95.5
2007,"Croatia","Females","15 do 19","0-2",1.1
2007,"Croatia","Females","15 do 19","3-4",6.2
2007,"Croatia","Females","15 do 24","0-2",3
2007,"Croatia","Females","15 do 24","3-4",49.8
2007,"Croatia","Females","15 do 29","0-2",8.5
2007,"Croatia","Females","15 do 29","3-4",116.2
2007,"Croatia","Females","20 do 24","0-2",1.9
2007,"Croatia","Females","20 do 24","3-4",43.5
2007,"Croatia","Females","20 do 29","0-2",7.4
2007,"Croatia","Females","20 do 29","3-4",110
2007,"Croatia","Females","25 do 29","0-2",5.5
2007,"Croatia","Females","25 do 29","3-4",66.5
2007,"Italy","Males","15 do 19","0-2",100.4
2007,"Italy","Males","15 do 19","3-4",47
2007,"Italy","Males","15 do 24","0-2",355.3
2007,"Italy","Males","15 do 24","3-4",516.7
2007,"Italy","Males","15 do 29","0-2",799.2
2007,"Italy","Males","15 do 29","3-4",1230.5
2007,"Italy","Males","20 do 24","0-2",254.9
2007,"Italy","Males","20 do 24","3-4",469.7
