"Število prireditev po: OBÈINE, VRSTA PRIREDITVE, VRSTA PRODUKCIJE , LETO"

"SLOVENIJA"
" ";"Prireditve - SKUPAJ"
" ";" ";"Vse prireditve - SKUPAJ"
" ";" ";" ";"2015";523
" ";"Muzejske razstave"
" ";" ";"Vse prireditve - SKUPAJ"
" ";" ";" ";"2011";-
" ";" ";" ";"2012";-
" ";" ";" ";"2013";-
" ";" ";" ";"2014";-
" ";" ";" ";"2015";-
" ";" ";"Gostovanja - SKUPAJ"
" ";" ";" ";"2011";-
" ";" ";" ";"2012";-
" ";" ";" ";"2013";-
" ";" ";" ";"2014";-
" ";" ";" ";"2015";-
" ";" ";"Število obiskovalcev - SKUPAJ"
" ";" ";" ";"2011";-
" ";" ";" ";"2012";-
" ";" ";" ";"2013";-
" ";" ";" ";"2014";-
" ";" ";" ";"2015";-
" ";" ";"..Število obiskovalcev (otroci in mladina)"
" ";" ";" ";"2011";-
" ";" ";" ";"2012";-
" ";" ";" ";"2013";-
" ";" ";" ";"2014";-
" ";" ";" ";"2015";-
"Èrnomelj"
" ";"Prireditve - SKUPAJ"
" ";" ";"Vse prireditve - SKUPAJ"
" ";" ";" ";"2011";180
" ";" ";" ";"2012";217
" ";" ";" ";"2013";253
" ";" ";" ";"2014";224
" ";" ";" ";"2015";249
" ";" ";"Gostovanja - SKUPAJ"
" ";" ";" ";"2011";29
" ";" ";" ";"2012";47
" ";" ";" ";"2013";51
" ";" ";" ";"2014";82
" ";" ";" ";"2015";86
" ";" ";"Število obiskovalcev - SKUPAJ"
" ";" ";" ";"2011";14644
" ";" ";" ";"2012";18219
" ";" ";" ";"2013";17923
" ";" ";" ";"2014";17410
" ";" ";" ";"2015";17878
" ";" ";"..Število obiskovalcev (otroci in mladina)"
" ";" ";" ";"2011";7892
" ";" ";" ";"2012";10353
" ";" ";" ";"2013";7847
" ";" ";" ";"2014";4013
" ";" ";" ";"2015";10749
" ";"Instrumentalni koncerti"
" ";" ";"Vse prireditve - SKUPAJ"
" ";" ";" ";"2011";1
" ";" ";" ";"2012";1
" ";" ";" ";"2013";0
" ";" ";" ";"2014";1
" ";" ";" ";"2015";3
" ";" ";"Gostovanja - SKUPAJ"
" ";" ";" ";"2011";1
" ";" ";" ";"2012";1
" ";" ";" ";"2013";0
" ";" ";" ";"2014";1
" ";" ";" ";"2015";3
" ";" ";"Število obiskovalcev - SKUPAJ"
" ";" ";" ";"2011";241
" ";" ";" ";"2012";363
" ";" ";" ";"2013";0
" ";" ";" ";"2014";88
" ";" ";" ";"2015";308
" ";" ";"..Število obiskovalcev (otroci in mladina)"
" ";" ";" ";"2011";173
" ";" ";" ";"2012";85
" ";" ";" ";"2013";0
" ";" ";" ";"2014";18
" ";" ";" ";"2015";121
" ";"Rock koncerti, plesi"
" ";" ";"Vse prireditve - SKUPAJ"
" ";" ";" ";"2011";2
" ";" ";" ";"2012";3
" ";" ";" ";"2013";5
" ";" ";" ";"2014";1
" ";" ";" ";"2015";1
" ";" ";"Gostovanja - SKUPAJ"
" ";" ";" ";"2011";2
" ";" ";" ";"2012";3
" ";" ";" ";"2013";2
