"ACL00","GEO","UNIT","AGE","SEX","TIME","FREQUENC","Value","Flag and Footnotes"
"Cinema","Bulgaria","Percentage","From 25 to 29 years","Total","2006","More than 12 times","2.6",""
"Cinema","Czech Republic","Percentage","From 16 to 19 years","Total","2006","Never","21.3",""
"Cinema","Czech Republic","Percentage","From 16 to 19 years","Total","2006","From 1 to 3 times","33.9",""
"Cinema","Czech Republic","Percentage","From 16 to 19 years","Total","2006","From 4 to 6 times","24.6",""
"Cinema","Czech Republic","Percentage","From 16 to 19 years","Total","2006","From 7 to 12 times","13.7",""
"Cinema","Czech Republic","Percentage","From 16 to 19 years","Total","2006","More than 12 times","6.5",""
"Cinema","Czech Republic","Percentage","From 16 to 24 years","Total","2006","Never","24.5",""
"Cinema","Czech Republic","Percentage","From 16 to 24 years","Total","2006","From 1 to 3 times","34",""
"Cinema","Czech Republic","Percentage","From 16 to 24 years","Total","2006","From 4 to 6 times","22.1",""
"Cinema","Czech Republic","Percentage","From 16 to 24 years","Total","2006","From 7 to 12 times","11.8",""
"Cinema","Czech Republic","Percentage","From 16 to 24 years","Total","2006","More than 12 times","7.6",""
"Cinema","Czech Republic","Percentage","From 16 to 29 years","Total","2006","Never","30.2",""
"Cinema","Czech Republic","Percentage","From 16 to 29 years","Total","2006","From 1 to 3 times","35.1",""
"Cinema","Czech Republic","Percentage","From 16 to 29 years","Total","2006","From 4 to 6 times","17.8",""
"Cinema","Czech Republic","Percentage","From 16 to 29 years","Total","2006","From 7 to 12 times","10.4",""
"Cinema","Czech Republic","Percentage","From 16 to 29 years","Total","2006","More than 12 times","6.7",""
"Cinema","Czech Republic","Percentage","From 20 to 24 years","Total","2006","Never","27.5",""
"Cinema","Czech Republic","Percentage","From 20 to 24 years","Total","2006","From 1 to 3 times","34",""
"Cinema","Czech Republic","Percentage","From 20 to 24 years","Total","2006","From 4 to 6 times","19.8",""
"Cinema","Czech Republic","Percentage","From 20 to 24 years","Total","2006","From 7 to 12 times","10",""
"Cinema","Czech Republic","Percentage","From 20 to 24 years","Total","2006","More than 12 times","8.7",""
"Cinema","Czech Republic","Percentage","From 20 to 29 years","Total","2006","Never","33.6",""
"Cinema","Czech Republic","Percentage","From 20 to 29 years","Total","2006","From 1 to 3 times","35.5",""
"Cinema","Czech Republic","Percentage","From 20 to 29 years","Total","2006","From 4 to 6 times","15.1",""
"Cinema","Czech Republic","Percentage","From 20 to 29 years","Total","2006","From 7 to 12 times","9.1",""
"Cinema","Czech Republic","Percentage","From 20 to 29 years","Total","2006","More than 12 times","6.7",""
"Cinema","Czech Republic","Percentage","From 25 to 29 years","Total","2006","Never","37.9",""
"Cinema","Czech Republic","Percentage","From 25 to 29 years","Total","2006","From 1 to 3 times","36.5",""
"Cinema","Czech Republic","Percentage","From 25 to 29 years","Total","2006","From 4 to 6 times","11.8",""
"Cinema","Czech Republic","Percentage","From 25 to 29 years","Total","2006","From 7 to 12 times","8.4",""
"Cinema","Czech Republic","Percentage","From 25 to 29 years","Total","2006","More than 12 times","5.4",""
"Cinema","Denmark","Percentage","From 16 to 19 years","Total","2006","Never","14.2",""
"Cinema","Denmark","Percentage","From 16 to 19 years","Total","2006","From 1 to 3 times","32.5",""
"Cinema","Denmark","Percentage","From 16 to 19 years","Total","2006","From 4 to 6 times","27.5",""
"Cinema","Denmark","Percentage","From 16 to 19 years","Total","2006","From 7 to 12 times","14.6",""
"Cinema","Denmark","Percentage","From 16 to 19 years","Total","2006","More than 12 times","11.2",""
"Cinema","Denmark","Percentage","From 16 to 24 years","Total","2006","Never","12.3",""
"Cinema","Denmark","Percentage","From 16 to 24 years","Total","2006","From 1 to 3 times","32.2",""
"Cinema","Denmark","Percentage","From 16 to 24 years","Total","2006","From 4 to 6 times","26.8",""
"Cinema","Denmark","Percentage","From 16 to 24 years","Total","2006","From 7 to 12 times","17.5",""
"Cinema","Denmark","Percentage","From 16 to 24 years","Total","2006","More than 12 times","11.1",""
"Cinema","Denmark","Percentage","From 16 to 29 years","Total","2006","Never","12.9",""
"Cinema","Denmark","Percentage","From 16 to 29 years","Total","2006","From 1 to 3 times","32.5",""
"Cinema","Denmark","Percentage","From 16 to 29 years","Total","2006","From 4 to 6 times","27.7",""
"Cinema","Denmark","Percentage","From 16 to 29 years","Total","2006","From 7 to 12 times","17.8",""
"Cinema","Denmark","Percentage","From 16 to 29 years","Total","2006","More than 12 times","9.1",""
"Cinema","Denmark","Percentage","From 20 to 24 years","Total","2006","Never","10.6",""
"Cinema","Denmark","Percentage","From 20 to 24 years","Total","2006","From 1 to 3 times","32",""
"Cinema","Denmark","Percentage","From 20 to 24 years","Total","2006","From 4 to 6 times","26.3",""
"Cinema","Denmark","Percentage","From 20 to 24 years","Total","2006","From 7 to 12 times","20",""
"Cinema","Denmark","Percentage","From 20 to 24 years","Total","2006","More than 12 times","11.1",""
"Cinema","Denmark","Percentage","From 20 to 29 years","Total","2006","Never","12.3",""
"Cinema","Denmark","Percentage","From 20 to 29 years","Total","2006","From 1 to 3 times","32.5",""
