"Prihodi in prenoèitve turistov po: OBÈINE, LETO, DRŽAVE, SKUPINE"
"NASTANITVENIH OBJEKTOV , MERITVE"

" ";" ";" ";"Skupine nastanitvenih objektov - SKUPAJ"
" ";" ";" ";"Prenoèitve turistov - SKUPAJ"
"SLOVENIJA"
" ";" ";"TUJI";30540
"Šoštanj"
" ";"2011"
" ";" ";"DRŽAVE - SKUPAJ";94236
" ";" ";"DOMAÈI";63980
" ";" ";"TUJI";30256
" ";"2012"
" ";" ";"DRŽAVE - SKUPAJ";112608
" ";" ";"DOMAÈI";78083
" ";" ";"TUJI";34525
" ";"2013"
" ";" ";"DRŽAVE - SKUPAJ";106676
" ";" ";"DOMAÈI";71011
" ";" ";"TUJI";35665
" ";"2014"
" ";" ";"DRŽAVE - SKUPAJ";111747
" ";" ";"DOMAÈI";76757
" ";" ";"TUJI";34990
" ";"2015"
" ";" ";"DRŽAVE - SKUPAJ";109852
" ";" ";"DOMAÈI";79288
" ";" ";"TUJI";30564
"Veržej"
" ";"2011"
" ";" ";"DRŽAVE - SKUPAJ";112217
" ";" ";"DOMAÈI";92205
" ";" ";"TUJI";20012
" ";"2012"
" ";" ";"DRŽAVE - SKUPAJ";103961
" ";" ";"DOMAÈI";83973
" ";" ";"TUJI";19988
" ";"2013"
" ";" ";"DRŽAVE - SKUPAJ";102111
" ";" ";"DOMAÈI";80301
" ";" ";"TUJI";21810
" ";"2014"
" ";" ";"DRŽAVE - SKUPAJ";103929
" ";" ";"DOMAÈI";82760
" ";" ";"TUJI";21169
" ";"2015"
" ";" ";"DRŽAVE - SKUPAJ";101804
" ";" ";"DOMAÈI";80739
" ";" ";"TUJI";21065
"Zreèe"
" ";"2011"
" ";" ";"DRŽAVE - SKUPAJ";220185
" ";" ";"DOMAÈI";160637
" ";" ";"TUJI";59548
" ";"2012"
" ";" ";"DRŽAVE - SKUPAJ";224944
" ";" ";"DOMAÈI";157172
" ";" ";"TUJI";67772
" ";"2013"
" ";" ";"DRŽAVE - SKUPAJ";224384
" ";" ";"DOMAÈI";150812
" ";" ";"TUJI";73572
" ";"2014"
" ";" ";"DRŽAVE - SKUPAJ";209709
" ";" ";"DOMAÈI";140506
" ";" ";"TUJI";69203
" ";"2015"
" ";" ";"DRŽAVE - SKUPAJ";213506
" ";" ";"DOMAÈI";145986
" ";" ";"TUJI";67520
"GORSKE OBÈINE"
" ";"2011"
" ";" ";"DRŽAVE - SKUPAJ";2219798
" ";" ";"DOMAÈI";704939
" ";" ";"TUJI";1514859
" ";"2012"
" ";" ";"DRŽAVE - SKUPAJ";2277358
" ";" ";"DOMAÈI";695922
" ";" ";"TUJI";1581436
" ";"2013"
" ";" ";"DRŽAVE - SKUPAJ";2359599
" ";" ";"DOMAÈI";667255
" ";" ";"TUJI";1692344
" ";"2014"
" ";" ";"DRŽAVE - SKUPAJ";2246033
" ";" ";"DOMAÈI";580949
" ";" ";"TUJI";1665084
" ";"2015"
" ";" ";"DRŽAVE - SKUPAJ";2554359
" ";" ";"DOMAÈI";673161
" ";" ";"TUJI";1881198
"Bled"
" ";"2011"
" ";" ";"DRŽAVE - SKUPAJ";571756
" ";" ";"DOMAÈI";38994
" ";" ";"TUJI";532762
" ";"2012"
" ";" ";"DRŽAVE - SKUPAJ";598396
" ";" ";"DOMAÈI";37796
" ";" ";"TUJI";560600
" ";"2013"
